url,path,status,finalUrl,redirectCount,indexable,indexabilityReasons,canonicalOk,title,titleLength,description,descriptionLength,robotsMeta,xRobotsTag,canonical,alternateCount,ogTitle,ogDescription,ogImage,ogUrl,twitterTitle,twitterDescription,twitterImage,jsonLdCount,jsonLdTypes,h1Count,h1Text,h2Count,internalLinkCount,topInternalLinkTargets,missingTitle,missingDescription,missingCanonical,missingOgTitle,missingOgDescription,missingOgImage,missingTwitterTitle,duplicateTitle,duplicateDescription,fetchError,fetchFailureCategory,retryCount,responseLocation,responseCacheControl
http://127.0.0.1:5000/ask-heaven/wales-retaliatory-eviction-protection,/ask-heaven/wales-retaliatory-eviction-protection,0,http://127.0.0.1:5000/ask-heaven/wales-retaliatory-eviction-protection,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/warrant-of-possession-bailiffs-eviction,/ask-heaven/warrant-of-possession-bailiffs-eviction,0,http://127.0.0.1:5000/ask-heaven/warrant-of-possession-bailiffs-eviction,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/when-to-issue-money-claim-online-rent,/ask-heaven/when-to-issue-money-claim-online-rent,0,http://127.0.0.1:5000/ask-heaven/when-to-issue-money-claim-online-rent,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/when-to-use-section-8-form-3-grounds,/ask-heaven/when-to-use-section-8-form-3-grounds,0,http://127.0.0.1:5000/ask-heaven/when-to-use-section-8-form-3-grounds,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/assured-shorthold-tenancy-agreement,/assured-shorthold-tenancy-agreement,0,http://127.0.0.1:5000/assured-shorthold-tenancy-agreement,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/assured-shorthold-tenancy-agreement-template,/assured-shorthold-tenancy-agreement-template,0,http://127.0.0.1:5000/assured-shorthold-tenancy-agreement-template,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ast-template-england,/ast-template-england,0,http://127.0.0.1:5000/ast-template-england,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ast-tenancy-agreement-template,/ast-tenancy-agreement-template,0,http://127.0.0.1:5000/ast-tenancy-agreement-template,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/auth/login,/auth/login,0,http://127.0.0.1:5000/auth/login,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/blog,/blog,0,http://127.0.0.1:5000/blog,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
